Athlete_image_url,Athlete_name,Team,Team image_url,Sport,Biography,Event image_url,Event name,Medal
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/p1jcpwht2lfkrqzdt7qr,Yuto HORIGOME,JPN,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/jp,Skateboarding,"Born on January 7th, 1999, in Tokyo Japan, Yuto Horigome was sitting on a skateboard before he was standing on one. His father Ryota Horigome, a former street skateboarder, introduced his young son to the sport before he could walk.

Soon enough the board switched from toy to means of expression and Horigome began spending his days learning how to skate at the local “Amazing square” skate park in Tokyo.

Age 15, Horigome began entering skateboarding contests in America, drawing widespread attention for his ability to take on massive rails and gaps. Sensing California was the place to be to progress his career, in 2016 Horigome moved Stateside full-time.

His name lit up in lights when he became the first Japanese athlete to win a Street League Skateboarding event in May 2018. Demonstrating that it was by no means a fluke, the Tokyo-born skater followed his London title by going on to win a further two events later in the same year.

In 2019 things only got better for Horigome. He won two Olympic qualifying events and finished runner-up in the World Championships behind three-time defending champion and world number one, America Nyjah Huston.

",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1655996747/primary/cvkohtnfy2gchvxw2w8l,Rayssa LEAL,BRA,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/br,Skateboarding,"How old is Rayssa Leal? When did Rayssa Leal start skating?
Born in 2008, the 15-year-old Leal rose to prominence in a way only the youngest generation really know how – through the medium of viral video. A short video clip of Leal perfectly executing a heelflip down a set of stairs while donning a bright blue tutu as part of a fairy princess costume perfect exploded across social media platforms, propelling the then-7-year-old to internet notoriety.

Rayssa Leal competitions and wins
Behind the tricks and clicks there is also a seriously talented competitor.

At 11 the goofy-footed skateboarder became the youngest street skater ever to win a Women’s Final on the Street League Skateboarding World Tour in Los Angeles. She bested current world number one Pamela Rosa to clinch the title. The Brazilian – who has been skating for eight years - featured twice at the X-Games in 2019, finishing fourth in both competitions. She clinched her first X-Games win in 2022, taking the street event at X-Games Chiba.",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Silver
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/qrgvoximtbab3hvo67sh,Katie LEDECKY,USA,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/us,Swimming,"Katie Ledecky is the most decorated of female swimmer in history with six individual Olympic gold medals and 14 individual long course world titles to date.

The Washington athlete is also holds the 800m and 1500m freestyle world records, and owns 18 of the 20 fastest 1500m freestyle times ever.

Her Olympic journey began, aged 15, with a surprise 800m free gold medal at London 2012. She went on to win four golds at the 2014 Worlds.

Going into the Rio 2016 Games expectations were high, and Ledecky didn’t disappoint. She bagged the 200m, 400m, 800m and 4x200m freestyle titles to finish as the second most-decorated athlete at Rio 2016 after Michael Phelps.

In Tokyo, she edged her closest rival Ariarne Titmus to land another 800m Olympic gold medal, before winning the inaugural women's 1500m freestyle title.

It would take a brave individual to bet against Ledecky adding more Olympic golds to her resume at Paris 2024, and given her relatively young age, from pushing through to a home Games at Los Angeles 2028.",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/u3bpi1kmm0n9nptnfgon,Kristof Milak,HUN,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/hu,Swimming,"Kristof Milak literally made waves at the Youth Olympic Games Buenos Aires 2018, where took home the men's 200m butterfly, 200m freestyle, and 400m freestyle titles, in addition to the 100m butterfly silver.

The Hungarian chose to focus on the butterfly, and that decision paid dividends at the 2019 World Championships in Gwangju, where he clocked 1:50:73 over 200m to smash Michael Phelps' 10-year-old world record and win the world title.

The 2020 European Championships brought more success, with the Budapest native winning the 100m and 200m butterfly races, with a new national record of 50:18 in the former.

Milak became a national hero at the Olympic Games Tokyo 2020 (in 2021) when he blasted to a two-second victory in the 200m butterfly title to complete his medal collection. In the 100m fly, he broke Caeleb Dressel's Olympic record in the prelims, but eventually finished with the silver medal, behind the American, in the final.

Budapest was chosen as a late replacement host for the 2022 World Championships, and there was plenty to cheer about for the home fans as Milak lowered his own world record to win the 200m butterfly, before winning his first 100m butterfly title in Dressel's absence.",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/heoopmantspbzhbwwjya,Kaylee MCKEOWN,AUS,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/au,Swimming,"Kaylee McKeown first appeared on the Olympic stage at the Buenos Aires 2018 Youth Olympics, where the swimmer won women's 50m backstroke gold, alongside silver in the 100m backstroke, and bronze in the 200m backstroke.

In the run up to the Olympic Games Tokyo 2020, the Queenslander clocked a 57.45 to break the 100m backstroke world record.

She then backed up that performance at the Games, winning two individual gold medals in the 100m and 200m backstroke, and another gold as part of the all-star Australian women's 4x100m medley team that also featured Chelsea Hodges, Emma McKeon, and Cate Campbell.

McKeown is also a highly versatile athlete. In the run up to Tokyo 2020, she won the 200m individual medley at the Australian National Championships, but withdrew from the event in order to focus on the backstroke sprints.

However, she did enter into the event instead of the 100m backstroke at the 2022 World Championships, and landed the 200m IM silver with an impressive 2:08:57. Elsewhere at the event, the 2001-born star completed her medal collection with 200m backstroke gold.

",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/kxv7nqrkzzwxkvysxdeo,Caeleb DRESSEL,USA,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/us,Swimming,"It is unlikely that any swimmer will ever surpass Michael Phelps’ astonishing record of 23 Olympic gold medals – but Dressel looks like the aquatic star most likely to be able to accumulate large amounts of medals at summer Games, Phelps-style. The Florida-born 23-year-old, like Phelps, can swim freestyle, breaststroke and butterfly to the highest of standards – a versatility that means he can potentially threaten in seven or more races this summer.

Dressel proved this at the 2017 World Aquatics Championships in Budapest, Hungary, where he swept the board and grabbed seven gold medals. Looking utterly dominant, he won the 50m freestyle, 100m freestyle, 100m butterfly, 4x100m freestyle, 4x100m medley, 4x100m mixed freestyle and the 4x100m mixed medley. He became the first man ever to get three golds in one night at that meeting.

And in 2019 he got six golds: 50m freestyle, 100m freestyle, 50m butterfly, 100m 50m butterfly and the 4x100m freestyle. In the 100m butterfly at that meeting, he broke the world record for the 100m butterfly; he also has the 50m freestyle world record. With an extremely strong relay team to help him out, Dressel shows the ability to recover fast between races and go again.",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1655913118/primary/aopkmtbyyc7fbhoh6gzz,Flora DUFFY,BER,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/bm,Triathlon,"Olympic Medals
1
G
Games Participations
4
First Olympic Games
Beijing 2008
Year of Birth
1987",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/o7jvipsa0kfv8uv9hzbm,Neeraj CHOPRA,IND,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/in,Athletics,"Despite his young age, Indian javelin thrower Neeraj Chopra has already etched his name in the history books by becoming the first and only track and field athlete from the country to win an Olympic medal – that too a gold.

Neeraj Chopra’s gold medal at Tokyo 2020 was also India’s second individual Olympic gold medal after shooter Abhinav Bindra’s 10m air rifle glory at Beijing 2008.

Heading into the Tokyo Olympics, Neeraj Chopra was, at best, a dark horse in the men’s javelin competition which featured a strong field consisting of overwhelming favourite Johannes Vetter, reigning world champion Anderson Peters, London 2012 gold medallist Keshorn Walcott, among others.

Come the main event, though, the Indian stepped up in a major way. Neeraj Chopra topped the qualifying round with an 86.65m throw, finishing above Vetter’s 85.64m.

The challenge from Vetter to Neeraj Chopra in the final never materialised; The German struggled and failed to make it into the final eight, as Chopra led the field from start to finish.",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/adzmrximqjxi6qiggikf,Armand DUPLANTIS,SWE,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/se,Athletics,"Armand ""Mondo"" Duplantis, born in Louisiana in 1999, has long been pegged as the one to watch in men's pole vaulting. But few, even among the most avid track and field followers, would have expected his rise to culminate in him breaking the world record so quickly.

Born to an American pole vaulter father and Swedish long jumper mother, Duplantis opted to compete internationally for his mother's home country. In 2015, still four months shy of his 16th birthday, he won the world under-18 title; barely two years later he had already broken the under-20 world record with a clearance of 5.90m, attracting the attention of the great Sergey Bubka. 

But it was another man, Renaud Lavillenie, who was Duplantis' idol growing up after they first met in 2013. ""I loved the way he pole vaulted. I kind of always wanted to jump like him,"" Duplantis said in 2017. That winter, he went to Clermont-Ferrand to train with the French Olympic champion for a few days.

The titles continued to follow, including European Championships gold in 2018. At that event, he cleared 6.05 metres – good enough to rank him as the fifth-best vaulter of all time. Duplantis chose to attend the Louisiana State University, but gave college up after a year to focus on his burgeoning professional athletics career. A year later at the 2019 Worlds in Doha, the Swede ended up with silver after a battle against American Sam Kendricks. But nothing quite prepared Duplantis' rivals or the world for what was to follow in early 2020.

",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Gold
https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/primary/hgotdozfbffr1w9jbbj6,Shelly-Ann FRASER-PRYCE,JAM,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/jm,Athletics,"Olympic Medals
3
G
4
S
1
B
Games Participations
4
First Olympic Games
Beijing 2008
Year of Birth
1986",https://img.olympicchannel.com/images/image/private/t_1-1_300/f_auto/v1552235080/primary/jux5g5vrxv5fnglq93yj,Tokyo 2020,Silver
