Team,Year,Sport,Gold,Silver,Bronze
A North American Team,1900,Polo,0,0,4
Afghanistan,2008,Taekwondo,0,0,1
Afghanistan,2012,Taekwondo,0,0,1
Algeria,1984,Boxing,0,0,2
Algeria,1992,Athletics,1,0,0
Algeria,1992,Boxing,0,0,1
Algeria,1996,Athletics,1,0,0
Algeria,1996,Boxing,1,0,1
Algeria,2000,Athletics,1,1,2
Algeria,2000,Boxing,0,0,1
Algeria,2008,Judo,0,1,1
Algeria,2012,Athletics,1,0,0
Algeria,2016,Athletics,0,2,0
Ali-Baba II,1948,Sailing,0,0,5
Amateur Athletic Association,1900,Athletics,5,0,0
Amstel Amsterdam,1908,Rowing,0,0,4
Ancora,1920,Sailing,4,0,0
Angelita,1932,Sailing,12,0,0
Antwerpia V,1920,Sailing,0,0,5
Aphrodite,1964,Sailing,0,0,3
Argentina,1924,Athletics,0,1,0
Argentina,1924,Boxing,0,2,2
Argentina,1924,Polo,5,0,0
Argentina,1928,Boxing,2,2,0
Argentina,1928,Fencing,0,0,5
Argentina,1928,Football,0,16,0
Argentina,1928,Swimming,1,0,0
Argentina,1932,Athletics,1,0,0
Argentina,1932,Boxing,2,1,0
Argentina,1936,Boxing,1,1,2
Argentina,1936,Polo,4,0,0
Argentina,1936,Rowing,0,0,2
Argentina,1936,Swimming,0,1,0
Argentina,1948,Athletics,1,1,0
Argentina,1948,Boxing,2,0,1
Argentina,1948,Shooting,0,1,0
Argentina,1952,Athletics,0,1,0
Argentina,1952,Boxing,0,1,1
Argentina,1952,Rowing,2,0,0
Argentina,1952,Weightlifting,0,0,1
Argentina,1956,Boxing,0,0,1
Argentina,1956,Weightlifting,0,1,0
Argentina,1960,Boxing,0,0,1
Argentina,1964,Equestrianism,0,1,0
Argentina,1968,Boxing,0,0,1
Argentina,1968,Rowing,0,0,1
Argentina,1972,Rowing,0,1,0
Argentina,1988,Tennis,0,1,0
Argentina,1988,Volleyball,0,0,12
Argentina,1992,Tennis,0,0,2
Argentina,1996,Boxing,0,0,1
Argentina,1996,Football,0,18,0
Argentina,1996,Sailing,0,1,0
Argentina,2000,Hockey,0,16,0
Argentina,2000,Sailing,0,1,3
Argentina,2004,Basketball,12,0,0
Argentina,2004,Football,16,0,0
Argentina,2004,Hockey,0,0,16
Argentina,2004,Sailing,0,0,2
Argentina,2004,Swimming,0,0,1
Argentina,2004,Tennis,0,0,2
Argentina,2008,Basketball,0,0,12
Argentina,2008,Cycling,2,0,0
Argentina,2008,Football,18,0,0
Argentina,2008,Hockey,0,0,16
Argentina,2008,Judo,0,0,1
Argentina,2008,Sailing,0,0,2
Argentina,2012,Hockey,0,15,0
Argentina,2012,Sailing,0,0,2
Argentina,2012,Taekwondo,1,0,0
Argentina,2012,Tennis,0,0,1
Argentina,2016,Hockey,18,0,0
Argentina,2016,Judo,1,0,0
Argentina,2016,Sailing,2,0,0
Argentina,2016,Tennis,0,1,0
Argonaut Rowing Club,1908,Rowing,0,0,6
Armenia,1996,Wrestling,1,1,0
Armenia,2000,Weightlifting,0,0,1
Armenia,2008,Boxing,0,0,1
Armenia,2008,Weightlifting,0,0,3
Armenia,2008,Wrestling,0,0,2
Armenia,2012,Weightlifting,0,0,1
Armenia,2012,Wrestling,0,1,1
Armenia,2016,Weightlifting,0,2,0
Armenia,2016,Wrestling,1,1,0
Aschenbrodel,1900,Sailing,4,4,0
Atalanta Boat Club-1,1904,Rowing,2,0,0
Atalanta Boat Club-2,1904,Rowing,0,2,0
Atlanta,1920,Sailing,9,0,0
Australasia,1908,Athletics,0,0,1
Australasia,1908,Boxing,0,1,0
Australasia,1908,Rugby,15,0,0
Australasia,1908,Swimming,0,1,1
Australasia,1912,Swimming,5,2,2
Australasia,1912,Tennis,0,0,1
Australia,1896,Athletics,2,0,0
Australia,1900,Athletics,0,0,3
Australia,1900,Swimming,2,0,0
Australia,1904,Swimming,0,3,1
Australia,1906,Athletics,0,0,2
Australia,1906,Swimming,0,0,1
Australia,1920,Athletics,0,1,0
Australia,1920,Swimming,0,5,1
Australia,1924,Alpinism,1,0,0
Australia,1924,Athletics,1,0,0
Australia,1924,Diving,1,0,0
Australia,1924,Swimming,1,5,2
Australia,1928,Cycling,0,0,1
Australia,1928,Rowing,1,0,0
Australia,1928,Swimming,0,2,0
Australia,1932,Cycling,1,0,0
Australia,1932,Rowing,1,0,0
Australia,1932,Swimming,1,1,0
Australia,1932,Wrestling,0,0,1
Australia,1936,Athletics,0,0,1
Australia,1948,Athletics,1,6,2
Australia,1948,Rowing,1,0,0
Australia,1948,Swimming,0,2,2
