City,Gold,Silver,Bronze
China,308,325,268
Denmark,168,223,162
Denmark/Sweden,6,0,0
Netherlands,277,321,390
United States,2474,1512,1233
Finland,198,263,415
Norway,299,330,281
Romania,161,200,290
Estonia,13,12,20
France,455,518,577
Taifun,5,0,0
Morocco,6,5,12
Spain,108,239,136
Egypt,7,8,12
Iran,18,21,29
Bulgaria,54,144,144
Italy,535,508,484
Chad,0,0,0
Azerbaijan,7,12,25
Sudan,0,1,0
Russia,366,351,393
Argentina,91,84,91
Cuba,164,127,116
Belarus,24,44,71
Greece,42,70,62
Cameroon,20,1,1
Turkey,40,27,28
Chile,3,9,20
Mexico,30,26,51
Soviet Union,1058,716,677
Nicaragua,0,0,0
Hungary,432,330,365
Nigeria,23,30,46
Algeria,5,4,8
Kuwait,0,0,2
Bahrain,1,1,1
Pakistan,42,45,34
Iraq,0,0,1
United Arab Republic,0,1,1
Lebanon,0,2,2
Qatar,0,1,4
Malaysia,0,9,3
Germany,679,627,678
Thessalonki-1,0,0,11
Canada,422,413,408
Ireland,9,13,13
Australia,342,453,511
South Africa,32,47,52
Eritrea,0,0,1
Tanzania,0,2,0
Jordan,1,0,0
Tunisia,3,3,7
Libya,0,0,0
Belgium,94,161,154
Djibouti,0,0,1
Palestine,0,0,0
Comoros,0,0,0
Kazakhstan,20,25,32
Brunei,0,0,0
India,138,19,40
Saudi Arabia,0,1,5
Syria,1,1,1
Maldives,0,0,0
Ethiopia,22,9,22
United Arab Emirates,1,0,1
North Yemen,0,0,0
Indonesia,7,11,9
Philippines,0,3,7
Singapore,1,4,4
Uzbekistan,10,7,17
Kyrgyzstan,0,1,2
Tajikistan,1,1,2
Unified Team,123,69,79
Japan,247,307,357
Japan-1,0,2,0
Congo (Brazzaville),0,0,0
Switzerland,144,213,231
Brazil,103,161,185
West Germany,155,184,219
East Germany,369,309,263
Monaco,0,0,1
Fornebo,0,4,0
Israel,1,1,7
Vesper Boat Club,18,0,0
Uruguay,31,2,30
Sweden,451,476,507
United States Virgin Islands,0,1,0
Sri Lanka,0,2,0
Armenia,2,5,9
Cote d'Ivoire,1,1,1
Kenya,34,41,31
Benin,0,0,0
France-1,4,7,11
Ukraine,47,52,98
Great Britain,519,582,572
Ghana,0,1,22
Somalia,0,0,0
Latvia,3,13,9
Niger,0,1,1
Mali,0,0,0
Afghanistan,0,0,2
Poland,117,193,253
Costa Rica,1,1,2
Panama,1,0,2
Georgia,8,6,18
Slovenia,8,13,27
Croatia,58,54,37
Russia-2,2,10,0
Russia-1,22,6,8
Guyana,0,0,1
New Zealand,85,56,82
Portugal,4,7,24
Paraguay,0,17,0
Angola,0,0,0
Venezuela,2,3,10
Colombia,5,8,14
Bangladesh,0,0,0
Peru,1,14,0
El Salvador,0,0,0
Puerto Rico,1,2,6
France-2,0,0,4
Uganda,2,3,2
Switzerland-2,8,10,4
Switzerland-1,20,22,30
Honduras,0,0,0
