City,Gold,Silver,Bronze
Barcelona,559,549,604
London,1215,1195,1214
Antwerpen,493,448,367
Paris,478,509,449
Calgary,87,88,88
Albertville,104,108,106
Lillehammer,110,109,112
Los Angeles,726,691,706
Salt Lake City,162,157,159
Helsinki,306,291,300
Lake Placid,104,105,101
Sydney,663,661,680
Atlanta,608,605,629
Stockholm,338,327,312
Sochi,202,197,198
Nagano,145,145,150
Torino,176,175,175
Beijing,671,667,710
Rio de Janeiro,665,655,703
Athina,883,859,860
Squaw Valley,50,48,49
Innsbruck,131,138,128
Sarajevo,74,74,74
Mexico City,359,340,358
Munich,404,392,419
Seoul,520,513,549
Berlin,312,310,295
Oslo,45,44,47
Cortina d'Ampezzo,51,49,50
Melbourne,290,281,286
Roma,309,294,308
Amsterdam,245,239,250
Montreal,438,434,448
Moskva,457,458,469
Tokyo,347,339,343
Vancouver,174,175,171
Grenoble,66,70,63
Sapporo,70,63,66
Chamonix,55,38,37
St. Louis,173,163,150
Sankt Moritz,71,76,77
Garmisch-Partenkirchen,36,37,35
