Gender,Year,City,Sport,Bronze,Gold,Silver
F,1900,Paris,Golf,1,1,1
F,1900,Paris,Sailing,0,1,1
F,1900,Paris,Tennis,4,2,2
F,1904,St. Louis,Archery,2,6,2
F,1906,Athina,Tennis,2,2,2
F,1908,London,Archery,1,1,1
F,1908,London,Figure Skating,2,2,2
F,1908,London,Sailing,0,1,0
F,1908,London,Tennis,2,2,2
F,1912,Stockholm,Diving,1,1,1
F,1912,Stockholm,Swimming,5,5,5
F,1912,Stockholm,Tennis,4,4,4
F,1920,Antwerpen,Art Competitions,0,0,1
F,1920,Antwerpen,Diving,2,2,2
F,1920,Antwerpen,Figure Skating,2,2,2
F,1920,Antwerpen,Sailing,0,1,0
F,1920,Antwerpen,Swimming,6,6,6
F,1920,Antwerpen,Tennis,4,4,4
F,1924,Chamonix,Figure Skating,2,2,2
F,1924,Paris,Art Competitions,0,0,1
F,1924,Paris,Diving,2,2,2
F,1924,Paris,Fencing,1,1,1
F,1924,Paris,Swimming,8,8,8
F,1924,Paris,Tennis,4,4,4
F,1928,Amsterdam,Art Competitions,2,0,1
F,1928,Amsterdam,Athletics,8,8,8
F,1928,Amsterdam,Diving,2,2,2
F,1928,Amsterdam,Fencing,1,1,1
F,1928,Amsterdam,Gymnastics,12,10,12
F,1928,Amsterdam,Sailing,0,1,0
F,1928,Amsterdam,Swimming,8,10,8
F,1928,Sankt Moritz,Figure Skating,2,2,2
F,1932,Lake Placid,Figure Skating,2,2,2
F,1932,Los Angeles,Art Competitions,0,0,2
F,1932,Los Angeles,Athletics,9,9,9
F,1932,Los Angeles,Diving,2,2,2
F,1932,Los Angeles,Fencing,1,1,1
F,1932,Los Angeles,Swimming,8,8,8
F,1936,Berlin,Alpinism,0,1,0
F,1936,Berlin,Athletics,9,9,9
F,1936,Berlin,Diving,2,2,2
F,1936,Berlin,Fencing,1,1,1
F,1936,Berlin,Gymnastics,8,8,8
F,1936,Berlin,Sailing,1,0,0
F,1936,Berlin,Swimming,9,8,9
F,1936,Garmisch-Partenkirchen,Alpine Skiing,1,1,1
F,1936,Garmisch-Partenkirchen,Figure Skating,2,2,2
F,1948,London,Art Competitions,3,1,0
F,1948,London,Athletics,12,12,12
F,1948,London,Canoeing,1,1,1
F,1948,London,Diving,2,2,2
F,1948,London,Fencing,1,1,1
F,1948,London,Gymnastics,8,8,8
F,1948,London,Swimming,8,8,9
F,1948,Sankt Moritz,Alpine Skiing,3,3,3
F,1948,Sankt Moritz,Figure Skating,2,2,2
F,1952,Helsinki,Athletics,12,12,12
F,1952,Helsinki,Canoeing,1,1,1
F,1952,Helsinki,Diving,2,2,2
F,1952,Helsinki,Equestrianism,1,0,1
F,1952,Helsinki,Fencing,1,1,1
F,1952,Helsinki,Gymnastics,21,21,21
F,1952,Helsinki,Sailing,0,1,1
F,1952,Helsinki,Swimming,8,9,8
F,1952,Oslo,Alpine Skiing,3,3,3
F,1952,Oslo,Cross Country Skiing,1,1,1
F,1952,Oslo,Figure Skating,2,2,2
F,1956,Cortina d'Ampezzo,Alpine Skiing,3,3,3
F,1956,Cortina d'Ampezzo,Cross Country Skiing,4,4,4
F,1956,Cortina d'Ampezzo,Figure Skating,2,2,2
F,1956,Melbourne,Athletics,11,12,13
F,1956,Melbourne,Canoeing,1,1,1
F,1956,Melbourne,Diving,2,2,2
F,1956,Melbourne,Fencing,1,1,1
F,1956,Melbourne,Gymnastics,23,18,17
F,1956,Melbourne,Swimming,9,11,12
F,1956,Stockholm,Equestrianism,2,0,4
F,1960,Roma,Athletics,12,13,14
F,1960,Roma,Canoeing,3,3,3
F,1960,Roma,Diving,2,2,2
F,1960,Roma,Fencing,6,7,6
F,1960,Roma,Gymnastics,11,11,11
F,1960,Roma,Swimming,13,20,17
F,1960,Squaw Valley,Alpine Skiing,3,3,3
F,1960,Squaw Valley,Cross Country Skiing,4,4,4
F,1960,Squaw Valley,Figure Skating,2,2,2
F,1960,Squaw Valley,Speed Skating,4,4,4
F,1964,Innsbruck,Alpine Skiing,2,3,4
F,1964,Innsbruck,Cross Country Skiing,5,5,5
F,1964,Innsbruck,Figure Skating,2,2,3
F,1964,Innsbruck,Luge,1,1,1
F,1964,Innsbruck,Speed Skating,3,4,5
F,1964,Tokyo,Athletics,15,15,15
F,1964,Tokyo,Canoeing,3,3,3
F,1964,Tokyo,Diving,2,2,2
F,1964,Tokyo,Equestrianism,0,0,3
F,1964,Tokyo,Fencing,5,6,6
F,1964,Tokyo,Gymnastics,10,11,12
F,1964,Tokyo,Swimming,15,22,16
F,1964,Tokyo,Volleyball,10,12,12
F,1968,Grenoble,Alpine Skiing,3,3,3
F,1968,Grenoble,Cross Country Skiing,5,5,5
F,1968,Grenoble,Figure Skating,2,2,2
F,1968,Grenoble,Luge,1,1,1
F,1968,Grenoble,Speed Skating,3,4,6
F,1968,Mexico City,Athletics,15,15,15
F,1968,Mexico City,Canoeing,3,3,3
F,1968,Mexico City,Diving,2,2,2
F,1968,Mexico City,Equestrianism,1,2,3
F,1968,Mexico City,Fencing,6,6,6
F,1968,Mexico City,Gymnastics,11,12,10
F,1968,Mexico City,Swimming,20,24,22
F,1968,Mexico City,Volleyball,12,11,9
F,1972,Munich,Archery,1,1,1
F,1972,Munich,Athletics,20,20,20
F,1972,Munich,Canoeing,4,4,4
F,1972,Munich,Diving,2,2,2
F,1972,Munich,Equestrianism,3,4,5
F,1972,Munich,Fencing,5,6,6
F,1972,Munich,Gymnastics,10,11,12
F,1972,Munich,Swimming,23,27,22
F,1972,Munich,Volleyball,11,12,12
F,1972,Sapporo,Alpine Skiing,3,3,3
F,1972,Sapporo,Cross Country Skiing,5,5,5
F,1972,Sapporo,Figure Skating,2,2,2
F,1972,Sapporo,Luge,1,1,1
F,1972,Sapporo,Speed Skating,4,4,4
F,1976,Innsbruck,Alpine Skiing,3,3,3
F,1976,Innsbruck,Cross Country Skiing,6,6,6
F,1976,Innsbruck,Figure Skating,3,3,3
F,1976,Innsbruck,Luge,1,1,1
F,1976,Innsbruck,Speed Skating,4,4,4
F,1976,Montreal,Archery,1,1,1
F,1976,Montreal,Athletics,20,20,20
F,1976,Montreal,Basketball,12,12,12
F,1976,Montreal,Canoeing,3,3,3
F,1976,Montreal,Diving,2,2,2
F,1976,Montreal,Equestrianism,3,3,2
F,1976,Montreal,Fencing,6,6,6
F,1976,Montreal,Gymnastics,10,11,12
F,1976,Montreal,Handball,14,14,14
F,1976,Montreal,Rowing,24,24,24
F,1976,Montreal,Shooting,0,0,1
F,1976,Montreal,Swimming,21,23,21
F,1976,Montreal,Volleyball,12,12,12
F,1980,Lake Placid,Alpine Skiing,3,3,3
F,1980,Lake Placid,Cross Country Skiing,6,6,6
