Title,Link,Image URL
"Lovlina Borgohain Exclusive: I could have done better, says Tokyo 2020 bronze medallist",https://www.indiatoday.in/sports/tokyo-olympics/video/lovlina-borgohain-exclusive-feel-bad-that-i-couldn-t-do-better-than-the-bronze-medal-says-tokyo-2020-star-1836751-2021-08-04,https://akm-img-a-in.tosshub.com/indiatoday/images/video/202108/AP21216218721951_1200x768.jpeg?VersionId=nMNr93we1W7lSAtrJdFcUSincPYg3mXF&size=690:388
"India at Tokyo: Neeraj, Mirabai medal highlights of a memorable campaign",https://www.indiatoday.in/sports/other-sports/story/india-at-2020-tokyo-olympics-neeraj-chopra-gold-ravi-silver-sindhu-mirabai-hockey-team-medal-lovlina-bajrang-1894409-2021-12-31,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202112/FotoJet_0_1200x768_1200x768.jpeg?size=115:115
Neeraj Chopra returns to training with 'same hunger and desire as before',https://www.indiatoday.in/sports/other-sports/story/tokyo-olympics-gold-medalist-neeraj-chopra-returns-to-training-1867197-2021-10-20,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202110/246772960_686133352779941_3611_1200x768.jpeg?size=115:115
Olympic medal which men's team won belongs to all of Indian hockey: Rani ,https://www.indiatoday.in/sports/hockey/story/india-today-conclave-olympics-medal-which-men-s-team-won-belongs-to-all-of-indian-hockey-rani-rampal-1862900-2021-10-09,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202110/CDK_7262_1200x768.jpeg?size=115:115
"In Kerala, kids have started playing hockey with PVC pipes: Sreejesh",https://www.indiatoday.in/sports/tokyo-olympics/story/india-today-conlave-in-kerala-kids-have-started-playing-hockey-with-pvs-pipes-pr-sreejesh-1862895-2021-10-09,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202110/CDK_7138_1200x768.jpeg?size=690:388
Tokyo Olympics bronze medallist Lovlina targets gold in Paris 2024,https://www.indiatoday.in/sports/other-sports/story/tokyo-olympics-bronze-medallist-lovlina-borgohain-targets-gold-in-paris-2024-1861819-2021-10-07,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202110/WhatsApp_Image_2021-10-07_at_9_1200x768.jpeg?size=115:115
Neeraj Chopra’s spear set to get Rs 1 crore at e-auction of PM Modi mementos,https://www.indiatoday.in/sports/other-sports/story/neeraj-chopra-s-spear-gets-rs-1-crore-at-e-auction-of-pm-narendra-modi-mementos-1861529-2021-10-06,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202110/E9FCaw8XIAo1keL_1200x768.jpeg?size=115:115
Tokyo Paralympics Highlights: Games officially open after inspiring opening ceremony,https://www.indiatoday.in/sports/other-sports/story/tokyo-paralympics-2020-opening-ceremony-live-updates-india-contingent-tek-chand-flag-bearer-1844711-2021-08-24,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/tekchandtokyoparalympicsopenin_1200x768.jpeg?VersionId=F_s7lRI8XkQjLOlUKNXbLE6sTXIwRfoH&size=115:115
"India's Olympic champions on AajTak: Slept with the gold medal, says Neeraj Chopra",https://www.indiatoday.in/sports/tokyo-olympics/story/india-s-olympic-champions-on-aajtak-live-updates-ravi-bajrang-hockey-neeraj-lovlina-sindhu-1840747-2021-08-14,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/2021-08-07T125628Z_1574848933__1200x768.png?VersionId=ghu_uTfXdIjBYdXffJIOmSf219Dqi6jT&size=690:388
"Indian Olympic Champions' Felicitation: Gold is for entire nation, says Neeraj Chopra",https://www.indiatoday.in/sports/tokyo-olympics/story/indian-olympic-athletes-felicitation-ceremony-live-updates-neeraj-chopra-bajrang-punia-lovlina-borgohain-pv-sindhu-mirabai-chanu-ravi-dahiya-mens-hockey-1838796-2021-08-09,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/PTI08_08_2021_000055B_1200x768.jpeg?VersionId=Yw8SzbC9CA61iZXhB8V54fzI4qw8T0Hs&size=115:115
Tokyo 2020 Closing Ceremony Highlights: 32nd Olympiad officially 'closed' by Thomas Bach,https://www.indiatoday.in/sports/tokyo-olympics/story/tokyo-2020-day-16-live-updates-marathon-final-boxing-women-s-basketball-1838248-2021-08-08,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/AP21220429122429_1200x768.jpeg?VersionId=sNMAwgAzkpZKJJ0bfcQPQsdV5Cd3rxCn&size=115:115
Tokyo Olympics August 7 Highlights: India win only gold in athletics,https://www.indiatoday.in/sports/tokyo-olympics/story/tokyo-olympics-2020-august-7-live-updates-34-gold-medals-on-line-1837918-2021-08-06,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/AP21218831422695_1200x768.jpeg?VersionId=1Ewmwh0sG5xcbYfKvIlDp2DxrzVnTGvp&size=115:115
Tokyo 2020 Highlights: Neeraj Chopra wins Gold medal in Men's Javelin,https://www.indiatoday.in/sports/tokyo-olympics/story/india-at-tokyo-2020-day-15-live-score-updates-neeraj-chopra-bajrang-punia-1837898-2021-08-06,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/neerajchoprajavelin_1200x768.png?VersionId=Ak7c.BnHt1eF6fFn6MeyYwdcdD1sGg7u&size=690:388
"Tokyo 2020 Highlights, IND vs GBR: Valiant India fall short of Women's Hockey Bronze",https://www.indiatoday.in/sports/tokyo-olympics/story/tokyo-2020-india-vs-great-britain-womens-hockey-bronze-medal-match-live-score-updates-1837433-2021-08-06,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/hockeyimage_1200x768.jpeg?VersionId=QHru8Bg9veJPNB_zvrXbQ3aEOAeDanBp&size=115:115
"Tokyo Olympics 2020, August 6 Live: 23 gold medals at stake on Day 14",https://www.indiatoday.in/sports/tokyo-olympics/story/tokyo-olympics-2020-august-6-live-23-gold-medals-at-stake-on-day-1837427-2021-08-05,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/AP21217819345816_1200x768.jpeg?VersionId=ZpF2aZJBKFVbl4EzvQgvL5k9qe.qkjDf&size=115:115
"India at Tokyo 2020 Highlights: Men's relay team fails to reach finals, wrestler Bajrang loses in semis",https://www.indiatoday.in/sports/tokyo-olympics/story/india-at-tokyo-2020-day-14-live-updates-results-women-hockey-bajrang-aditi-seema-bhawna-1837396-2021-08-05,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/bajrangpunia_1200x768.jpeg?VersionId=ZCdfrGrd61exP7QgrSi6SMP95n.g0x15&size=115:115
"Tokyo 2020 Highlights: India men beat Germany 5-4, win hockey bronze medal",https://www.indiatoday.in/sports/tokyo-olympics/story/tokyo-2020-india-vs-germany-mens-hockey-bronze-medal-match-live-score-updates-1836924-2021-08-05,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/indvgerhockeybronzelive_1200x768.jpeg?VersionId=1qtD_WvI4BuujJO57I60TQLJvopXH2fw&size=690:388
"Tokyo Olympics 2020, August 5 Live: 27 gold medals at stake on Day 13",https://www.indiatoday.in/sports/tokyo-olympics/story/tokyo-olympics-2020-august-5-live-27-gold-medals-at-stake-on-day-1836919-2021-08-04,https://akm-img-a-in.tosshub.com/indiatoday/images/breaking_news/202108/AP21216541360763_1200x768.jpeg?VersionId=C8QejZMJRu5j7oikI.tMJKgIwCmOCMZq&size=115:115
