Name,Team,Sport,Gold,Silver,Bronze,Image
A. Albert,Union des Socits Franais de Sports Athletiques,Rugby,1,0,0,
A. Dubois,Gitana-2,Sailing,0,1,1,
"A. Joshua ""Josh"" West",Great Britain,Rowing,0,1,0,
A. Lawry,Cornwall,Rugby,0,1,0,
A. M. Woods,St. Louis Amateur Athletic Association,Lacrosse,0,1,0,
A. R. Upton,Brussels Swimming and Water Polo Club,Water Polo,0,1,0,
A. Willcocks,Cornwall,Rugby,0,1,0,
Aage Birch,Denmark,Sailing,0,1,0,
Aage Ernst Larsen,Denmark,Rowing,0,1,0,
Aage Hy Pedersen,Hi-Hi,Sailing,0,1,0,
Aage Ingvar Eriksen,Norway,Wrestling,0,1,0,
Aage Jrgen Christian Andersen,Denmark,Football,1,0,0,
Aage Jrgensen,Denmark,Gymnastics,0,1,0,
Aage Marius Hansen,Denmark,Gymnastics,0,0,1,
Aage Valdemar Harald Frandsen,Denmark,Gymnastics,1,0,0,
Aage Walther,Denmark,Gymnastics,0,1,0,
"Aagje ""Ada"" Kok (-van der Linden)",Netherlands,Swimming,1,2,0,
"Aale Maria Tynni (-Pirinen, -Haavio)",Finland,Art Competitions,1,0,0,
Aarne Anders Pohjonen,Finland,Gymnastics,0,0,1,
Aarne Eemeli Reini,Finland,Wrestling,0,1,0,
Aarne Eliel Tellervo Pelkonen,Finland,Gymnastics,0,1,0,
Aaron Brown,Canada,Athletics,0,0,1,
Aaron Egbele,Nigeria,Athletics,0,0,1,
Aaron Gate,New Zealand,Cycling,0,0,1,
Aaron John McIntosh,New Zealand,Sailing,0,0,1,
Aaron Michael Miller,United States,Ice Hockey,0,1,0,
Aaron Nguimbat,Cameroon,Football,1,0,0,
Aaron Nigel Armstrong,Trinidad and Tobago,Athletics,1,0,0,
Aaron Ross Flood,United States,Wrestling,0,1,0,
Aaron Russell,United States,Volleyball,0,0,1,
Aaron Wells Peirsol,United States,Swimming,5,2,0,
"Aartje Elisabeth ""Adrie"" Lasterie",Netherlands,Swimming,0,1,0,
Aas Mmmdov,Azerbaijan,Boxing,0,0,1,
Aavo Pikkuus,Soviet Union,Cycling,1,0,0,
Abas Arslanagi,Yugoslavia,Handball,1,0,0,
Abbas Jadidi,Iran,Wrestling,0,1,0,
Abbey Weitzeil,United States,Swimming,1,1,0,
Abbos Atayev,Uzbekistan,Boxing,0,0,1,
Abby Bishop,Australia,Basketball,0,0,1,
Abdel Aal Ahmed Rashid,Egypt,Wrestling,0,0,1,
Abdel Hak Achik,Morocco,Boxing,0,0,1,
Abdel Moneim El-Gindy,United Arab Republic,Boxing,0,0,1,
"Abdelghani ""Ghani"" Yalouz",France,Wrestling,0,1,0,
Abderrahmane Hammad Zaheer,Algeria,Athletics,0,0,1,
Abdon Pamich,Italy,Athletics,1,0,1,
Abdoul Razak Issoufou Alfaga,Niger,Taekwondo,0,1,0,
"Abdoulaye ""Abdou"" Sye Papa",France,Athletics,0,0,1,
